field,file,year,dimmsee (arcsec),dimm2see (arcsec),magzpt,exp (S),type
8hr,c4d_180607_232344_ooi_i_v1,2018,nan,1.359,25.06,132.0,image
8hr,c4d_180606_232102_ooi_i_v1,2018,nan,1.124,25.215,132.0,image
8hr,c4d_180607_231823_ooi_i_v1,2018,nan,1.568,24.916,132.0,image
8hr,c4d_180606_232343_ooi_i_v1,2018,nan,1.188,25.293,132.0,image
8hr,c4d_180606_232623_ooi_i_v1,2018,nan,1.232,25.276,132.0,image
8hr,c4d_180606_231822_ooi_i_v1,2018,nan,1.235,25.12,132.0,image
8hr,c4d_180607_231304_ooi_i_v1,2018,nan,1.199,24.997,132.0,image
8hr,c4d_180606_231541_ooi_i_v1,2018,nan,1.185,25.113,132.0,image
8hr,c4d_180608_232105_ooi_i_v1,2018,nan,0.667,24.868,132.0,image
8hr,c4d_180608_231302_ooi_i_v1,2018,nan,0.698,25.166,132.0,image
8hr,c4d_180607_231544_ooi_i_v1,2018,nan,1.511,24.786,132.0,image
8hr,c4d_180608_232346_ooi_i_v1,2018,nan,0.643,24.786,132.0,image
8hr,c4d_180607_232104_ooi_i_v1,2018,nan,1.503,24.973,132.0,image
8hr,c4d_180608_231542_ooi_i_v1,2018,nan,0.734,25.094,132.0,image
8hr,c4d_180608_231824_ooi_i_v1,2018,nan,0.676,24.914,132.0,image
