field,file,year,dimmsee (arcsec),dimm2see (arcsec),magzpt,exp (S),type
Centaurus,c4d_180609_042258_ooi_i_v1,2018,nan,0.655,23.96,132.0,image
Centaurus,c4d_180609_041735_ooi_i_v1,2018,nan,0.64,24.112,132.0,image
Centaurus,c4d_180608_041638_ooi_i_v1,2018,nan,0.927,25.254,132.0,image
Centaurus,c4d_180609_042016_ooi_i_v1,2018,nan,0.867,23.896,132.0,image
Centaurus,c4d_180607_041552_ooi_i_v1,2018,nan,0.847,25.318,132.0,image
Centaurus,c4d_180609_041211_ooi_i_v1,2018,nan,0.659,23.436,132.0,image
Centaurus,c4d_180607_041834_ooi_i_v1,2018,nan,0.844,25.313,132.0,image
Centaurus,c4d_180607_042639_ooi_i_v1,2018,nan,0.866,25.31,132.0,image
Centaurus,c4d_180608_042442_ooi_i_v1,2018,nan,0.835,25.25,132.0,image
Centaurus,c4d_180609_041454_ooi_i_v1,2018,nan,0.59,23.147,132.0,image
Centaurus,c4d_180608_041356_ooi_i_v1,2018,nan,0.883,25.263,132.0,image
Centaurus,c4d_180608_042201_ooi_i_v1,2018,nan,0.881,25.231,132.0,image
Centaurus,c4d_180608_041919_ooi_i_v1,2018,nan,0.867,25.254,132.0,image
Centaurus,c4d_180607_042358_ooi_i_v1,2018,nan,0.89,25.317,132.0,image
Centaurus,c4d_180607_042116_ooi_i_v1,2018,nan,0.925,25.323,132.0,image
