field,file,year,dimmsee (arcsec),magzpt,exp (S),type
FRB131104,c4d_150301_052512_ooi_i_v1,2015,nan,25.11043,20.0,image
FRB131104,c4d_150301_053629_ooi_i_v1,2015,nan,24.95143,20.0,image
FRB131104,c4d_150301_052737_ooi_i_v1,2015,nan,24.96742,20.0,image
FRB131104,c4d_150301_053942_ooi_i_v1,2015,nan,24.93642,20.0,image
FRB131104,c4d_150301_053139_ooi_i_v1,2015,nan,24.90042,20.0,image
FRB131104,c4d_150301_053052_ooi_i_v1,2015,nan,25.00743,20.0,image
FRB131104,c4d_150301_054031_ooi_i_v1,2015,nan,25.08043,20.0,image
FRB131104,c4d_150301_052826_ooi_i_v1,2015,nan,25.00643,20.0,image
FRB131104,c4d_150301_054523_ooi_i_v1,2015,nan,25.09793,20.0,image
FRB131104,c4d_150301_052336_ooi_i_v1,2015,nan,24.96143,20.0,image
FRB131104,c4d_150301_052252_ooi_i_v1,2015,nan,25.01143,20.0,image
FRB131104,c4d_150301_054435_ooi_i_v1,2015,nan,25.05293,20.0,image
FRB131104,c4d_150301_054208_ooi_i_v1,2015,nan,25.01842,20.0,image
FRB131104,c4d_150301_054659_ooi_i_v1,2015,nan,25.04843,20.0,image
FRB131104,c4d_150301_054122_ooi_i_v1,2015,nan,25.08643,20.0,image
FRB131104,c4d_150301_053456_ooi_i_v1,2015,nan,24.95642,20.0,image
FRB131104,c4d_150301_052426_ooi_i_v1,2015,nan,25.11242,20.0,image
FRB131104,c4d_150301_053807_ooi_i_v1,2015,nan,24.97142,20.0,image
FRB131104,c4d_150301_052602_ooi_i_v1,2015,nan,25.06243,20.0,image
FRB131104,c4d_150301_053315_ooi_i_v1,2015,nan,24.93542,20.0,image
FRB131104,c4d_150301_052650_ooi_i_v1,2015,nan,25.02542,20.0,image
FRB131104,c4d_150301_053716_ooi_i_v1,2015,nan,24.97342,20.0,image
FRB131104,c4d_150301_053855_ooi_i_v1,2015,nan,25.05742,20.0,image
FRB131104,c4d_150301_052252_osj_i_v1,2015,nan,25.01143,620.0,image1
FRB131104,c4d_150301_053405_ooi_i_v1,2015,nan,24.94843,20.0,image
FRB131104,c4d_150301_052913_ooi_i_v1,2015,nan,24.97943,20.0,image
FRB131104,c4d_150301_054347_ooi_i_v1,2015,nan,25.00743,20.0,image
FRB131104,c4d_150301_054259_ooi_i_v1,2015,nan,25.06243,20.0,image
FRB131104,c4d_150301_053541_ooi_i_v1,2015,nan,24.97142,20.0,image
FRB131104,c4d_150301_053230_ooi_i_v1,2015,nan,24.93343,20.0,image
FRB131104,c4d_150301_053004_ooi_i_v1,2015,nan,24.99243,20.0,image
FRB131104,c4d_150301_054613_ooi_i_v1,2015,nan,25.06943,20.0,image
