field,file,year,dimmsee (arcsec),dimm2see (arcsec),magzpt,exp (S),type
FRB_150216,c4d_150301_083816_ooi_i_v1,2015,0.983,1.244,24.88377,150.0,image
FRB_150216,c4d_150301_090402_ooi_i_v1,2015,1.699,1.244,24.80358,50.0,image
FRB_150216,c4d_150301_090125_osj_i_v1,2015,1.699,1.244,24.92057,250.0,image1
FRB_150216,c4d_150301_090644_ooi_i_v1,2015,1.094,1.244,24.80457,50.0,image
FRB_150216,c4d_150301_083221_ooi_i_v1,2015,1.036,1.244,24.92777,150.0,image
FRB_150216,c4d_150301_090243_ooi_i_v1,2015,1.699,1.244,24.82957,50.0,image
FRB_150216,c4d_150301_090125_ooi_i_v1,2015,1.552,1.244,24.92057,50.0,image
FRB_150216,c4d_150301_084113_ooi_i_v1,2015,0.947,1.244,24.67177,150.0,image
FRB_150216,c4d_150301_090523_ooi_i_v1,2015,1.094,1.244,24.81857,50.0,image
FRB_150216,c4d_150301_083515_ooi_i_v1,2015,0.992,1.244,24.90977,150.0,image
FRB_150216,c4d_150301_084418_ooi_i_v1,2015,1.5,1.244,24.86077,150.0,image
