field,file,year,dimmsee (arcsec),magzpt,exp (S),type
Prime,c4d_151219_082853_ooi_i_v1,2015,1.374,24.96543,20.0,image
Prime,c4d_151218_082016_ooi_i_v1,2015,0.664,25.33792,20.0,image
Prime,c4d_151221_081753_ooi_i_v1,2015,0.845,25.31442,20.0,image
Prime,c4d_151222_082705_ooi_i_v1,2015,0.867,25.29543,20.0,image
Prime,c4d_151220_081812_ooi_i_v1,2015,0.748,25.32492,20.0,image
Prime,c4d_151220_081859_ooi_i_v1,2015,0.748,25.32842,20.0,image
Prime,c4d_151221_081840_ooi_i_v1,2015,0.845,25.30742,20.0,image
Prime,c4d_151222_082527_ooi_i_v1,2015,0.882,25.27942,20.0,image
Prime,c4d_151218_081926_ooi_i_v1,2015,0.734,25.32043,20.0,image
Prime,c4d_151221_082107_ooi_i_v1,2015,nan,25.34343,20.0,image
Prime,c4d_151218_081842_ooi_i_v1,2015,0.734,25.33942,20.0,image
Prime,c4d_151220_081632_ooi_i_v1,2015,0.702,25.33293,20.0,image
Prime,c4d_151221_082020_ooi_i_v1,2015,0.845,25.33142,20.0,image
Prime,c4d_151219_082536_ooi_i_v1,2015,1.514,24.98943,20.0,image
Prime,c4d_151222_082751_ooi_i_v1,2015,0.867,25.34443,20.0,image
Prime,c4d_151222_082617_ooi_i_v1,2015,0.887,25.26192,20.0,image
Prime,c4d_151222_082438_ooi_i_v1,2015,0.882,25.30943,20.0,image
Prime,c4d_151219_082802_ooi_i_v1,2015,1.374,24.80243,20.0,image
Prime,c4d_151220_081946_ooi_i_v1,2015,0.79,25.34942,20.0,image
Prime,c4d_151218_082104_ooi_i_v1,2015,0.664,25.36043,20.0,image
Prime,c4d_151220_081720_ooi_i_v1,2015,0.702,25.30643,20.0,image
Prime,c4d_151221_081928_ooi_i_v1,2015,0.845,25.31042,20.0,image
Prime,c4d_151219_082628_ooi_i_v1,2015,1.514,25.10242,20.0,image
Prime,c4d_151219_082714_ooi_i_v1,2015,1.374,25.04443,20.0,image
Prime,c4d_151218_082154_ooi_i_v1,2015,0.68,25.35942,20.0,image
